"","seed","graph","dim","method","selector","elapsed_time_model","total_ram_model","peak_ram_model","elapsed_time_best","total_ram_best","peak_ram_best","f1","precision","recall","hamming_dist","best"
"610",51,"hub",100,"mb","stars",0.583,0.599999999999998,10.3,7.078,0.5,9.7,0.680851063829787,0.571428571428571,0.842105263157895,150,0
"710",51,"hub",250,"mb","stars",0.699999999999999,1.3,38.8,10.738,1.6,37.9,0.307352941176471,0.186108637577916,0.881856540084388,1884,0
"810",51,"hub",500,"mb","stars",1.302,3,45.1,23.826,3.2,58.2,0.26209798617373,0.152875175315568,0.917894736842105,4910,0
"910",51,"hub",750,"mb","stars",2.34800000000001,4.9,66.5,44.478,2.3,112.5,0.116174526223006,0.0619768644785103,0.925561797752809,20054,0
"1010",51,"hub",1000,"mb","stars",3.702,7,99.4,73.672,1,165.9,0.104418155480444,0.0553848123959534,0.910526315789474,29676,0
"114",51,"cluster",100,"glasso","stars",0.585,1.6,2,8.165,0.600000000000001,11.1,0.539553752535497,0.607305936073059,0.485401459854015,454,0
"127",51,"cluster",250,"glasso","stars",0.955,9.6,11,21.889,0.5,58,0.431200701139351,0.526766595289079,0.364985163204748,1298,0
"1311",51,"cluster",500,"glasso","stars",5.101,38.1,43.8,126.603,-2.2,158.3,0.320944972630366,0.276152702032722,0.383081155433287,4714,0
"142",51,"cluster",750,"glasso","stars",22.209,85.8,98.7,517.443,-28.7,324.7,0.298053255761915,0.288561525129983,0.308190652475706,6274,0
"152",51,"cluster",1000,"glasso","stars",53.633,152.5,175.4,1155.871,-79.5,409.5,0.224780369584974,0.158841158841159,0.384323204419889,15354,0
"162",51,"cluster",100,"mb","stars",0.491,0.599999999999998,10.2,6.163,0.5,9.6,0.543820224719101,0.707602339181287,0.441605839416058,406,0
"172",51,"cluster",250,"mb","stars",0.603,1.2,39.2,9.126,1.5,38,0.414707655213984,0.349238578680203,0.510385756676558,1942,0
"182",51,"cluster",500,"mb","stars",1.287,3.4,45.3,23.634,4.1,77.3,0.25544373284538,0.174021441037148,0.480055020632737,8138,0
"192",51,"cluster",750,"mb","stars",2.117,5.2,65.5,40.508,1.6,111.2,0.155540868032606,0.0924406424581006,0.490050902360019,22998,0
"202",51,"cluster",1000,"mb","stars",2.78399999999999,6.2,132.2,51.95,-1.8,166.1,0.124183282046959,0.0707255005521679,0.508632596685083,41554,0
"212",51,"band",100,"glasso","stars",0.382,1.6,2,6.406,0.5,10.7,0.603658536585366,0.432314410480349,1,260,0
"221",51,"band",250,"glasso","stars",0.779,9.5,10.9,16.107,0.399999999999999,58.2,0.507739938080495,0.341666666666667,0.987951807228916,954,0
"231",51,"band",500,"glasso","stars",3.959,38.1,43.8,114.709,-3.39999999999999,157.8,0.293751850755108,0.172341904100069,0.993987975951904,4770,0
"241",51,"band",750,"glasso","stars",18.739,85.9,98.7,418.117,-29.8,243.4,0.238873604143065,0.135911602209945,0.985313751668892,9406,0
